phase,task,method,perturbation_family,level,trials_per_condition,required,notes
simulation,push_block,nominal,friction_surface,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,friction_surface,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,compound,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,compound,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,compound,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,nominal,compound,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,latency,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,latency,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,latency,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,latency,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,action_noise,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,action_noise,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,action_noise,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,action_noise,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,joint_range,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,joint_range,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,joint_range,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,joint_range,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,gripper_limit,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,gripper_limit,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,gripper_limit,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,gripper_limit,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,speed_cap,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,speed_cap,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,speed_cap,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,speed_cap,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,calibration_offset,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,calibration_offset,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,calibration_offset,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,calibration_offset,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,camera_shift,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,camera_shift,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,camera_shift,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,camera_shift,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,payload,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,payload,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,payload,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,payload,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,tool_extension,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,tool_extension,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,tool_extension,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,tool_extension,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,friction_surface,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,friction_surface,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,friction_surface,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,friction_surface,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,compound,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,compound,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,compound,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,domain_randomization,compound,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,latency,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,latency,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,latency,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,latency,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,action_noise,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,action_noise,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,action_noise,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,action_noise,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,joint_range,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,joint_range,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,joint_range,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,joint_range,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,gripper_limit,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,gripper_limit,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,gripper_limit,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,gripper_limit,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,speed_cap,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,speed_cap,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,speed_cap,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,speed_cap,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,calibration_offset,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,calibration_offset,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,calibration_offset,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,calibration_offset,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,camera_shift,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,camera_shift,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,camera_shift,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,camera_shift,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,payload,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,payload,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,payload,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,payload,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,tool_extension,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,tool_extension,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,tool_extension,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,tool_extension,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,friction_surface,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,friction_surface,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,friction_surface,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,friction_surface,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,compound,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,compound,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,compound,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,grid_worstcase,compound,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,latency,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,latency,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,latency,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,latency,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,action_noise,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,action_noise,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,action_noise,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,action_noise,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,joint_range,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,joint_range,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,joint_range,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,joint_range,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,gripper_limit,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,gripper_limit,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,gripper_limit,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,gripper_limit,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,speed_cap,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,speed_cap,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,speed_cap,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,speed_cap,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,calibration_offset,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,calibration_offset,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,calibration_offset,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,calibration_offset,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,camera_shift,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,camera_shift,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,camera_shift,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,camera_shift,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,payload,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,payload,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,payload,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,payload,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,tool_extension,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,tool_extension,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,tool_extension,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,tool_extension,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,friction_surface,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,friction_surface,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,friction_surface,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,friction_surface,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,compound,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,compound,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,compound,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,robust_control,compound,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,latency,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,latency,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,latency,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,latency,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,action_noise,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,action_noise,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,action_noise,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,action_noise,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,joint_range,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,joint_range,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,joint_range,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,joint_range,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,gripper_limit,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,gripper_limit,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,gripper_limit,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,gripper_limit,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,speed_cap,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,speed_cap,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,speed_cap,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,speed_cap,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,calibration_offset,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,calibration_offset,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,calibration_offset,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,calibration_offset,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,camera_shift,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,camera_shift,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,camera_shift,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,camera_shift,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,payload,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,payload,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,payload,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,payload,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,tool_extension,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,tool_extension,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,tool_extension,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,tool_extension,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,friction_surface,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,friction_surface,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,friction_surface,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,friction_surface,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,compound,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,compound,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,compound,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,sysid_retune,compound,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,latency,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,latency,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,latency,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,latency,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,action_noise,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,action_noise,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,action_noise,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,action_noise,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,joint_range,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,joint_range,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,joint_range,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,joint_range,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,gripper_limit,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,gripper_limit,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,gripper_limit,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,gripper_limit,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,speed_cap,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,speed_cap,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,speed_cap,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,speed_cap,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,calibration_offset,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,calibration_offset,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,calibration_offset,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,calibration_offset,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,camera_shift,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,camera_shift,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,camera_shift,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,camera_shift,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,payload,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,payload,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,payload,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,payload,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,tool_extension,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,tool_extension,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,tool_extension,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,tool_extension,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,friction_surface,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,friction_surface,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,friction_surface,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,friction_surface,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,compound,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,compound,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,compound,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,push_block,oracle,compound,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
