artifact,check,status,detail,observed,expected
reports/CORRECTIVE_TRACE_READINESS.md,required_boundary_phrase,pass,required boundary phrase present,not real corrective-trace adaptation,
reports/CORRECTIVE_TRACE_READINESS.md,required_boundary_phrase,pass,required boundary phrase present,no real/external corrective trace dataset is present,
reports/CORRECTIVE_TRACE_READINESS.md,required_boundary_phrase,pass,required boundary phrase present,no real corrective-trace adaptation claim is supported,
paper/main.tex,document_exists_nonempty,pass,document exists and is nonempty,7900,>0 bytes
paper/main.tex,required_boundary_phrase,pass,required boundary phrase present,one public SB3/RL-Zoo HalfCheetah checkpoint rollout,
paper/main.tex,required_boundary_phrase,pass,required boundary phrase present,generated frames rather than real camera videos,
paper/main.tex,required_boundary_phrase,pass,required boundary phrase present,"broader trained-policy suites, manipulation/foundation-policy checkpoints, real robot results, real-video WAM training, and real corrective adaptation remain future evidence tiers",
paper/main.tex,required_boundary_phrase,pass,required boundary phrase present,none establishes physical transfer,
README_EXECUTION.md,document_exists_nonempty,pass,document exists and is nonempty,4707,>0 bytes
README_EXECUTION.md,required_boundary_phrase,pass,required boundary phrase present,This pack stops before hardware,
README_EXECUTION.md,required_boundary_phrase,pass,required boundary phrase present,safety gate,
README_EXECUTION.md,required_boundary_phrase,pass,required boundary phrase present,camera verifier,
README_EXECUTION.md,required_boundary_phrase,pass,required boundary phrase present,emergency stop,
paper/bodyshield_non_hardware_draft.pdf,pdf_extract_text,pass,PDF text extracted,2 pages,
paper/bodyshield_non_hardware_draft.pdf,required_pdf_boundary_phrase,pass,required PDF boundary phrase present,real robot results,
paper/bodyshield_non_hardware_draft.pdf,required_pdf_boundary_phrase,pass,required PDF boundary phrase present,generated frames,
paper/bodyshield_non_hardware_draft.pdf,required_pdf_boundary_phrase,pass,required PDF boundary phrase present,real camera,
paper/bodyshield_non_hardware_draft.pdf,required_pdf_boundary_phrase,pass,required PDF boundary phrase present,public SB3/RL-Zoo HalfCheetah checkpoint,
paper/bodyshield_non_hardware_draft.pdf,required_pdf_boundary_phrase,pass,required PDF boundary phrase present,none establishes physical transfer,
results/external_policy_benchmark_readiness.csv,required_statuses,pass,required status/artifact values present,"fixture_smoke_passed,missing_checkpoint","fixture_smoke_passed,missing_checkpoint"
results/external_policy_benchmark_readiness.csv,required_boundary_phrase,pass,required CSV boundary phrase present,not external checkpoint evidence,not external checkpoint evidence
results/external_policy_benchmark_readiness.csv,required_boundary_phrase,pass,required CSV boundary phrase present,No example ManiSkill trained-policy evidence was generated,No example ManiSkill trained-policy evidence was generated
results/real_video_wam_readiness.csv,required_statuses,pass,required status/artifact values present,"fixture_training_smoke_passed,missing_dataset","fixture_training_smoke_passed,missing_dataset"
results/real_video_wam_readiness.csv,required_boundary_phrase,pass,required CSV boundary phrase present,not real camera video,not real camera video
results/real_video_wam_readiness.csv,required_boundary_phrase,pass,required CSV boundary phrase present,No real-video WAM evidence was generated,No real-video WAM evidence was generated
results/corrective_trace_readiness.csv,required_statuses,pass,required status/artifact values present,"fixture_fit_smoke_passed,missing_dataset","fixture_fit_smoke_passed,missing_dataset"
results/corrective_trace_readiness.csv,required_boundary_phrase,pass,required CSV boundary phrase present,not real robot,not real robot
results/corrective_trace_readiness.csv,required_boundary_phrase,pass,required CSV boundary phrase present,No real corrective-trace evidence was generated,No real corrective-trace evidence was generated
results/simulation_rollout_videos.csv,required_statuses,pass,required status/artifact values present,"bodybreak_failure,bodyshield_repair,nominal_reference","nominal_reference,bodybreak_failure,bodyshield_repair"
results/simulation_rollout_videos.csv,required_boundary_phrase,pass,required CSV boundary phrase present,Synthetic generated rollout only,Synthetic generated rollout only
results/simulation_rollout_videos.csv,required_boundary_phrase,pass,required CSV boundary phrase present,not real video,not real video
results/simulation_rollout_videos.csv,required_boundary_phrase,pass,required CSV boundary phrase present,"not real video, camera verification, hardware","not real video, camera verification, hardware"
text_claim_scan,forbidden_overclaim_phrases,pass,no unsupported overclaim phrases found,168,
